w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-0.5485944427796696 + 0.0im	-0.11233971489985761 - 0.014445637295967007im	-0.022596055300004837 + 0.013670303195532125im	-0.022596055300004844 + 0.013670303195532125im	-0.08974365850623739 - 0.028115940491683703im
-0.5431628146333363 + 0.0im	-0.11305166763576578 - 0.01475244793041142im	-0.022589456732713037 + 0.014036843000361262im	-0.022589456732713037 + 0.014036843000361262im	-0.09046221468845057 - 0.028789290930953396im
-0.5377849649835013 + 0.0im	-0.11376452883031461 - 0.015065206059883028im	-0.022582856372267177 + 0.014412419412370515im	-0.022582856372267177 + 0.014412419412370515im	-0.09118166942986476 - 0.02947762547243045im
-0.5324603613698032 + 0.0im	-0.11447816393400495 - 0.015384015714718273im	-0.022576397326805494 + 0.014797209043241206im	-0.022576397326805497 + 0.01479720904324121im	-0.09190176261691332 - 0.030181224758132615im
-0.5271884766037656 + 0.0im	-0.1151924578966487 - 0.01570898066216969im	-0.022570230894115376 + 0.015191388302561074im	-0.02257023089411539 + 0.015191388302561074im	-0.09262222431143124 - 0.030900368964900178im
-0.5219687887165996 + 0.0im	-0.11590728367345214 - 0.016040204240334796im	-0.02256451063694058 + 0.015595133149349518im	-0.022564510636940573 + 0.01559513314934951im	-0.09334277008021971 - 0.031635337389850034im
-0.5168007809075243 + 0.0im	-0.11662250804842703 - 0.016377789185134172im	-0.022559398845669588 + 0.016008618832232764im	-0.022559398845669588 + 0.016008618832232768im	-0.09406310889258117 - 0.03238640801752907im
-0.5116839414925983 + 0.0im	-0.11733799479671572 - 0.016721837450356408im	-0.02255507075352806 + 0.0164320196182269im	-0.02255507075352806 + 0.0164320196182269im	-0.09478294640369853 - 0.03315385706874184im
-0.5066177638540578 + 0.0im	-0.11805360094042244 - 0.017072450020802363im	-0.022551707075254133 + 0.016865508510110774im	-0.022551707075254133 + 0.016865508510110774im	-0.0955018901783296 - 0.03393795853106815im
-0.5016017463901562 + 0.0im	-0.11876917925537371 - 0.01742972671857676im	-0.022549494923257155 + 0.017309256952397645im	-0.02254949492325716 + 0.017309256952397645im	-0.09621967863037738 - 0.03473898367112595im
-0.4966353924655012 + 0.0im	-0.11948456900612955 - 0.017793766002591874im	-0.022548632576062003 + 0.017763434525940397im	-0.022548632576062003 + 0.017763434525940397im	-0.09693594189769876 - 0.035557200528680395im
-0.49171821036188235 + 0.0im	-0.12019962386786348 - 0.018164664761365034im	-0.022549325301999296 + 0.01822820863123478im	-0.022549325301999306 + 0.01822820863123479im	-0.09765029918361437 - 0.03639287339274453im
-0.4868497132295865 + 0.0im	-0.12091416905676809 - 0.018542518099210096im	-0.022551788642405524 + 0.018703744160515567im	-0.02255178864240553 + 0.018703744160515564im	-0.0983623755265029 - 0.03724626225986704im
-0.48202941903919455 + 0.0im	-0.12162803793062128 - 0.018927419115942114im	-0.0225562446055154 + 0.0191902031587714im	-0.0225562446055154 + 0.019190203158771398im	-0.09907179561849726 - 0.03811762227485164im
-0.47725685053385597 + 0.0im	-0.12234105462295325 - 0.019319458680233936im	-0.022562924752417567 + 0.019687744473838517im	-0.022562924752417574 + 0.019687744473838514im	-0.09977813051528621 - 0.03900720315420734im
-0.4725315351820356 + 0.0im	-0.12305303617381405 - 0.019718725196784095im	-0.022572072615632773 + 0.020196523395767513im	-0.022572072615632773 + 0.020196523395767513im	-0.10048095927864119 - 0.03991524859268334im
-0.4678530051307283 + 0.0im	-0.12376379607303224 - 0.020125304367477045im	-0.022583939937374148 + 0.020716691285693922im	-0.022583939937374155 + 0.020716691285693922im	-0.10117985918930325 - 0.04084199565329955im
-0.46322079715913694 + 0.0im	-0.12447314020954181 - 0.020539278946738786im	-0.022598777949911764 + 0.02124839519448055im	-0.02259877794991178 + 0.021248395194480553im	-0.10187436403400169 - 0.041787674141344835im
-0.45863445263280883 + 0.0im	-0.12518086956156557 - 0.020960728491313557im	-0.02261686050962278 + 0.02179177747143899im	-0.02261686050962278 + 0.02179177747143898im	-0.10256401117425967 - 0.042752505962875026im
-0.45409351745822657 + 0.0im	-0.12588678009783438 - 0.02138972910471148im	-0.02263846596026399 + 0.02234697536347727im	-0.022638465960264 + 0.022346975363477274im	-0.10324831631946568 - 0.043736704468308296im
-0.4495975420378481 + 0.0im	-0.12659066034789165 - 0.021826353176600893im	-0.02266387680110392 + 0.022914120605062996im	-0.022663876801103922 + 0.02291412060506299im	-0.10392678488643606 - 0.04474047378178051im
-0.4451460812255921 + 0.0im	-0.12729229494348396 - 0.02227066911744409im	-0.022693393530884984 + 0.023493338999432227im	-0.022693393530885 + 0.023493338999432227im	-0.10459890348968386 - 0.04576400811699012im
-0.44073869428276446 + 0.0im	-0.12799146136965292 - 0.022722741088700912im	-0.02272731665943636 + 0.02408474999152054im	-0.022727316659436357 + 0.024084749991520528im	-0.10526414534176455 - 0.046807491080332435im
-0.43637494483442024 + 0.0im	-0.12868793219835106 - 0.023182628728950553im	-0.022765962835124644 + 0.02468846623313424im	-0.022765962835124633 + 0.02468846623313425im	-0.10592196840134827 - 0.04787109496219303im
-0.43205440082615865 + 0.0im	-0.12938147369639552 - 0.02365038687630823im	-0.02280965375160243 + 0.02530459314092808im	-0.02280965375160244 + 0.025304593140928085im	-0.10657181920961212 - 0.04895498001734185im
-0.4277766344813452 + 0.0im	-0.1300718476679467 - 0.024126065287540802im	-0.02285872155328065 + 0.02593322844779965im	-0.022858721553280652 + 0.025933228447799647im	-0.10721312048230319 - 0.050059293735443364im
-0.4235412222587576 + 0.0im	-0.13075880923870462 - 0.024609708354312063im	-0.02291350721792369 + 0.02657446174835947im	-0.02291350721792369 + 0.026574461748359465im	-0.10784530226722329 - 0.05118417010277185im
-0.4193477448106511 + 0.0im	-0.13144211048718676 - 0.025101354817016135im	-0.022974361369356742 + 0.027228374039180943im	-0.022974361369356742 + 0.02722837403918094im	-0.10846774869248757 - 0.05232972885629492im
-0.4151957869412387 + 0.0im	-0.13212149395128092 - 0.02560103747668538im	-0.023041637662879227 + 0.02789503725458425im	-0.023041637662879224 + 0.02789503725458425im	-0.10907985435247691 - 0.05349607473136497im
-0.4110849375655829 + 0.0im	-0.13279670079123257 - 0.02610878290548586im	-0.023115707322369332 + 0.028574513798754062im	-0.02311570732236935 + 0.02857451379875407im	-0.10968099187292209 - 0.05468329670433283im
-0.40701478966889393 + 0.0im	-0.13346746535775228 - 0.026624611156342178im	-0.023196940702132997 + 0.02926685607503999im	-0.023196940702133007 + 0.029266856075039985im	-0.11027052148668402 - 0.055891467231472695im
-0.4029849402662316 + 0.0im	-0.13413351590098804 - 0.027148535472260746im	-0.023285726645184263 + 0.029972106013335754im	-0.023285726645184263 + 0.029972106013335744im	-0.11084779057274438 - 0.057120641485684756im
-0.39899499036260555 + 0.0im	-0.13479458240557973 - 0.027680561995946474im	-0.02338244931516439 + 0.03069029459648081im	-0.02338244931516439 + 0.030690294596480813im	-0.11141213267961918 - 0.05837085659251331im
-0.39504454491347085 + 0.0im	-0.1354503828693607 - 0.028220689480336594im	-0.02348751156252077 + 0.031421441386674014im	-0.023487511562520786 + 0.03142144138667402im	-0.11196287313670113 - 0.059642130867094474im
-0.3911332127856147 + 0.0im	-0.13610063401734732 - 0.028768909000700563im	-0.023601315414416388 + 0.03216555405293582im	-0.023601315414416395 + 0.03216555405293582im	-0.11249931845569505 - 0.06093446305371812im
-0.3872606067184304 + 0.0im	-0.13674504998574671 - 0.02932520366898031im	-0.0237242791048191 + 0.03292262790069949im	-0.023724279104819106 + 0.03292262790069948im	-0.11302077070958307 - 0.06224783156975945im
-0.3834263432855746 + 0.0im	-0.13738333527545268 - 0.02988954835107126im	-0.023856815308808017 + 0.033692645404656996im	-0.023856815308808024 + 0.03369264540465699im	-0.11352651809889172 - 0.06358219375580586im
-0.3796300428570046 + 0.0im	-0.13801519469995255 - 0.03046190938776716im	-0.023999355041247075 + 0.03447557574602557im	-0.023999355041247065 + 0.03447557574602556im	-0.11401583971945628 - 0.06493748513386839im
-0.3758713295613907 + 0.0im	-0.13864033399558465 - 0.031042244320115688im	-0.024152328398567287 + 0.035271374355443585im	-0.02415232839856729 + 0.0352713743554436im	-0.11448800734565417 - 0.06631361867563301im
-0.37214983124890166 + 0.0im	-0.13925844544535174 - 0.03163050161995319im	-0.02431617217287606 + 0.03607998246274184im	-0.024316172172876082 + 0.036079982462741855im	-0.11494227293613667 - 0.06771048408276698im
-0.3684651794543581 + 0.0im	-0.13986922903456922 - 0.03222662042640697im	-0.024491330947080878 + 0.03690132665487361im	-0.024491330947080902 + 0.03690132665487359im	-0.11537789875371919 - 0.06912794708135075im
-0.36481700936075057 + 0.0im	-0.14047237431328394 - 0.03283053028917352im	-0.02467825168676536 + 0.03773531844332065im	-0.024678251686765344 + 0.037735318443320655im	-0.11579412238390381 - 0.07056584873256257im
-0.3612049597631194 + 0.0im	-0.14106757203582113 - 0.033442150919396674im	-0.02487738894138307 + 0.038581853842324446im	-0.024877388941383086 + 0.03858185384232445im	-0.11619018669590883 - 0.07202400476178784im
-0.3576286730327915 + 0.0im	-0.14165451085375125 - 0.03406139194898716im	-0.0250891879945258 + 0.0394408129593204im	-0.025089187994525818 + 0.039440812959320386im	-0.11656532384412562 - 0.07350220490837261im
-0.3540877950819718 + 0.0im	-0.14223287600272302 - 0.03468815269923662im	-0.02531411845096838 + 0.04031205959897782im	-0.025314118450968377 + 0.040312059598977816im	-0.1169187599324065 - 0.07500021229827797im
-0.35058197532868496 + 0.0im	-0.14280235593894605 - 0.03532232195959236im	-0.025552639588730715 + 0.04119544088227158im	-0.0255526395887307 + 0.04119544088227158im	-0.11724971413193994 - 0.07651776284192598im
-0.3471108666620643 + 0.0im	-0.143362628577062 - 0.035963777777466725im	-0.025805214572438714 + 0.04209078688202935im	-0.025805214572438714 + 0.04209078688202936im	-0.1175574136977277 - 0.07805456465955664im
-0.3436741254079845 + 0.0im	-0.14391338362938236 - 0.03661238725996275im	-0.026072299266740356 + 0.042997910276412976im	-0.026072299266740373 + 0.04299791027641298im	-0.11784107574977021 - 0.07961029753643485im
-0.34027141129503413 + 0.0im	-0.14445431132948705 - 0.03726800638840256im	-0.026354388462160126 + 0.04391660602180281im	-0.02635438846216014 + 0.043916606021802806im	-0.11809990844095804 - 0.08118461241026304im
-0.33690238742082584 + 0.0im	-0.14498507668013053 - 0.03793047984654446im	-0.026651921641266608 + 0.04484665104656118im	-0.026651921641266636 + 0.04484665104656118im	-0.11833314158206225 - 0.08277713089316203im
-0.3335667202186394 + 0.0im	-0.1455053745590374 - 0.03859964086337619im	-0.026965377128339352 + 0.04578780396715128im	-0.026965377128339355 + 0.045787803967151264im	-0.11853998812762524 - 0.08438744483058269im
-0.33026407942439545 + 0.0im	-0.14601489232527226 - 0.03927531107136618im	-0.02729521328716098 + 0.04673980482808543im	-0.027295213287160988 + 0.04673980482808542im	-0.1187196676952239 - 0.08601511589950561im
-0.3269941380439559 + 0.0im	-0.14651330778585273 - 0.039957300381046695im	-0.027641898724246328 + 0.04770237486716867im	-0.027641898724246335 + 0.047702374867168655im	-0.11887140395129263 - 0.08765967524826816im
-0.3237565723207484 + 0.0im	-0.14700032422933965 - 0.04064540687279543im	-0.02800589676982984 + 0.04867521630748973im	-0.02800589676982984 + 0.04867521630748973im	-0.11899442977953356 - 0.089320623180337im
-0.3205510617037113 + 0.0im	-0.1474756363978223 - 0.041339416706664904im	-0.028387660321774148 + 0.04965801217759365im	-0.02838766032177416 + 0.04965801217759365im	-0.1190879688704926 - 0.09099742888430927im
-0.3173772888155557 + 0.0im	-0.1479389087373686 - 0.04203910405109491im	-0.02878764739292572 + 0.05065042616124509im	-0.028787647392925744 + 0.05065042616124508im	-0.11915126278106741 - 0.09268953021238975im
-0.3142349394213423 + 0.0im	-0.14838988080401883 - 0.04274423103132178im	-0.029206306395642253 + 0.051652102478162695im	-0.02920630639564224 + 0.051652102478162674im	-0.11918357632813724 - 0.09439633350953332im
-0.3111237023973686 + 0.0im	-0.14882822914817426 - 0.043454547698274615im	-0.029644082989985346 + 0.05266266579706867im	-0.02964408298998534 + 0.05266266579706866im	-0.11918414988330099 - 0.09611721349539122im
-0.30804326970036494 + 0.0im	-0.14925367232448714 - 0.04416979201872098im	-0.03010141085967417 + 0.0536817211823565im	-0.030101410859674167 + 0.0536817211823565im	-0.11915226168584649 - 0.09785151320112451im
-0.304993336336995 + 0.0im	-0.1496659108039988 - 0.04488968988739467im	-0.030578722810862505 + 0.05470885407563361im	-0.0305787228108625 + 0.054708854075633626im	-0.11908719217684766 - 0.0995985439630745im
-0.3019736003336584 + 0.0im	-0.15006467275168636 - 0.04561395516180209im	-0.03107643958513452 + 0.05574363031333978im	-0.03107643958513451 + 0.0557436303133398im	-0.11898823700563668 - 0.1013575854751874im
-0.29898376270659244 + 0.0im	-0.1504496790482333 - 0.04634228972036733im	-0.03159497647316348 + 0.056785596181586045im	-0.031594976473163505 + 0.056785596181586045im	-0.11885470142137386 - 0.10312788590199821im
-0.29602352743226973 + 0.0im	-0.1508206608048849 - 0.04707438354453278im	-0.03213473308931377 + 0.0578342785092914im	-0.03213473308931377 + 0.057834278509291404im	-0.11868591209372945 - 0.10490866205386849im
-0.29309260141808885 + 0.0im	-0.15117735464130094 - 0.0478099148253875im	-0.03269610699656752 + 0.05888918480062536im	-0.03269610699656755 + 0.058889184800625355im	-0.11848124047872305 - 0.1066990996260565im
-0.29019069447335527 + 0.0im	-0.15151950580727316 - 0.04854855009534693im	-0.033279479019053565 + 0.059949803407683896im	-0.03327947901905359 + 0.05994980340768388im	-0.11824002163799983 - 0.10849835350307392im
-0.28731751928054977 + 0.0im	-0.15184687029966737 - 0.049289944385354376im	-0.033885215583155576 + 0.061015603744248116im	-0.033885215583155576 + 0.061015603744248095im	-0.11796164914478795 - 0.11030554812964509im
-0.284472791366881 + 0.0im	-0.1521592120979812 - 0.05003374140801887im	-0.034513675074939326 + 0.06208603654138188im	-0.03451367507493929 + 0.06208603654138185im	-0.11764553241862638 - 0.11211977794944282im
-0.28165622907611976 + 0.0im	-0.15245629888452333 - 0.050779573767046386im	-0.03516519435408457 + 0.06316053414553247im	-0.03516519435408457 + 0.06316053414553247im	-0.11729110050279994 - 0.11394010791262041im
-0.27886755354071263 + 0.0im	-0.15273791965076255 - 0.051527063193255604im	-0.03584009713878015 + 0.06423851085969937im	-0.03584009713878015 + 0.06423851085969938im	-0.11689781200963195 - 0.11576557405299633im
-0.2761064886541709 + 0.0im	-0.15300386228871088 - 0.05227582080740936im	-0.036538706856538525 + 0.0653193633281293im	-0.036538706856538525 + 0.0653193633281293im	-0.11646514433486108 - 0.11759518413557965im
-0.2733727610437336 + 0.0im	-0.15325393014549465 - 0.05302544741001715im	-0.037261307690027695 + 0.06640247096488627im	-0.037261307690027695 + 0.06640247096488626im	-0.11599261369051689 - 0.11942791837494415im
-0.2706661000433006 + 0.0im	-0.153487938668917 - 0.05377553379820082im	-0.038008186465278496 + 0.0674871964265331im	-0.038008186465278496 + 0.06748719642653309im	-0.11547976015491325 - 0.1212627302247743im
-0.26798623766663426 + 0.0im	-0.15370572028219578 - 0.05452566110963502im	-0.03877956416946107 + 0.06857288612903838im	-0.03877956416946107 + 0.06857288612903838im	-0.11492614370155513 - 0.12309854723871363im
-0.265332908580826 + 0.0im	-0.1539071076060805 - 0.05527540119350252im	-0.039575720452963474 + 0.06965887080890144im	-0.0395757204529635 + 0.06965887080890146im	-0.11433138347122285 - 0.12493427200244418im
-0.2627058500800257 + 0.0im	-0.15409196386564505 - 0.056024317008322666im	-0.04039685445906545 + 0.07074446612836192im	-0.04039685445906545 + 0.07074446612836191im	-0.1136950971297124 - 0.1267687831367245im
-0.26010480205943143 + 0.0im	-0.15426013177746992 - 0.05677196304643446im	-0.041243173614743237 + 0.0718289733244276im	-0.041243173614743237 + 0.07182897332442761im	-0.11301695698480305 - 0.12860093637090195im
-0.2575295069895361 + 0.0im	-0.15441153128965635 - 0.05751788578483034im	-0.0421148326314541 + 0.07291167990132486im	-0.0421148326314541 + 0.07291167990132486im	-0.11229670091765008 - 0.13042956568619501im
-0.2549797098906298 + 0.0im	-0.15454603875400744 - 0.058261624161955926im	-0.043012040939852954 + 0.07399186036583526im	-0.04301204093985299 + 0.07399186036583529im	-0.11153399791343882 - 0.13225348452783087im
-0.2524551583075543 + 0.0im	-0.15466354969480278 - 0.059002710080004406im	-0.043934799650477536 + 0.07506877700484942im	-0.043934799650477536 + 0.0750687770048494im	-0.11072875161054957 - 0.1340714870848937im
-0.2499556022847072 + 0.0im	-0.15476401799203673 - 0.059740668932153115im	-0.04488333793432718 + 0.07614168070432643im	-0.044883337934327146 + 0.0761416807043264im	-0.10988067432659719 - 0.13588234963651952im
-0.24748079434129425 + 0.0im	-0.15484737383408934 - 0.06047502015409664im	-0.04585770074860032 + 0.07720981180870665im	-0.04585770074860032 + 0.07720981180870665im	-0.10898968812447468 - 0.13768483196284312im
