w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-0.5219687887165996 + 0.0im	-1.6735415462585441 - 0.25009529416981824im	0.7879910275148101 + 0.30490661254613566im	0.7879910275148101 + 0.3049066125461356im	-2.4615325530404055 - 0.5550019067162846im
-0.5168007809075243 + 0.0im	-1.689164135388089 - 0.2578738619087685im	0.8012539234080168 + 0.31575184718679655im	0.8012539234080168 + 0.3157518471867965im	-2.490418071887323 - 0.5736257090958911im
-0.5116839414925983 + 0.0im	-1.7048852015041198 - 0.26588122909286527im	0.8146455402668774 + 0.32694620667262947im	0.8146455402668774 + 0.3269462066726294im	-2.5195304606207065 - 0.5928274357658165im
-0.5066177638540578 + 0.0im	-1.720700904921897 - 0.2741229108478304im	0.8281621231034515 + 0.33849849904368584im	0.8281621231034518 + 0.33849849904368584im	-2.5488630246517348 - 0.6126214098918326im
-0.5016017463901562 + 0.0im	-1.7366090744143932 - 0.28260446188172983im	0.841798859335329 + 0.3504176052298692im	0.841798859335329 + 0.3504176052298693im	-2.57840791883657 - 0.6330220671119111im
-0.4966353924655012 + 0.0im	-1.7526065116992002 - 0.29133147093919903im	0.8555517213533057 + 0.3627124706772634im	0.8555517213533057 + 0.3627124706772635im	-2.6081581935040763 - 0.6540439416167696im
-0.49171821036188235 + 0.0im	-1.7686893413782816 - 0.3003095549250526im	0.8694156387707843 + 0.37539209644151833im	0.8694156387707846 + 0.3753920964415183im	-2.6381050910399666 - 0.6757016513668735im
-0.4868497132295865 + 0.0im	-1.7848551877500323 - 0.30954435269303593im	0.8833868832111268 + 0.3884655297401283im	0.8833868832111268 + 0.3884655297401283im	-2.6682420746461175 - 0.6980098824334622im
-0.48202941903919455 + 0.0im	-1.8010972779270031 - 0.31904151849607043im	0.8974553735785261 + 0.4019418539564026im	0.8974553735785264 + 0.4019418539564026im	-2.6985526093072085 - 0.7209833724527663im
-0.47725685053385597 + 0.0im	-1.8174144450411447 - 0.32880671509504794im	0.9116196601718239 + 0.4158301780890214im	0.9116196601718239 + 0.41583017808902156im	-2.7290340945102356 - 0.7446368931843586im
-0.4725315351820356 + 0.0im	-1.8338011519697062 - 0.33884560652395124im	0.9258719565244564 + 0.43013962564220193im	0.9258719565244568 + 0.430139625642202im	-2.7596730816174793 - 0.7689852321664374im
-0.4678530051307283 + 0.0im	-1.8502531725754843 - 0.34916385050985416im	0.9402055946565078 + 0.44487932295276217im	0.9402055946565074 + 0.444879322952762im	-2.790458725809262 - 0.7940431734628948im
-0.46322079715913694 + 0.0im	-1.8667654607651025 - 0.3597670905471785im	0.9546135716001177 + 0.4600583869516519im	0.9546135716001181 + 0.4600583869516519im	-2.8213789609339512 - 0.8198254774991058im
-0.45863445263280883 + 0.0im	-1.883333078738922 - 0.37066094762646284im	0.9690884920207299 + 0.4756859123589479im	0.9690884920207299 + 0.47568591235894797im	-2.8524214684291653 - 0.8463468599856823im
-0.45409351745822657 + 0.0im	-1.8999507325750464 - 0.38185101161881607im	0.9836224351643849 + 0.49177095831275447im	0.9836224351643849 + 0.49177095831275447im	-2.8835731765488597 - 0.8736219699318375im
-0.4495975420378481 + 0.0im	-1.916612874576469 - 0.39334283231820233im	0.9982072815888461 + 0.5083225344340374im	0.9982072815888461 + 0.5083225344340374im	-2.914820113363009 - 0.9016653667525021im
-0.4451460812255921 + 0.0im	-1.9333137141402503 - 0.40514191014471096im	1.0128344258106443 + 0.5253495863310192im	1.0128344258106443 + 0.5253495863310191im	-2.946148089953972 - 0.9304914964759873im
-0.44073869428276446 + 0.0im	-1.9500472022850384 - 0.4172536865130393im	1.0274948189968496 + 0.5428609805485002im	1.0274948189968496 + 0.5428609805485001im	-2.977542043578993 - 0.9601146670617927im
-0.43637494483442024 + 0.0im	-1.9668070124499177 - 0.4296835338715076im	1.0421790245130498 + 0.5608654889692333im	1.0421790245130498 + 0.5608654889692333im	-3.0089861187713316 - 0.99054902284099im
-0.43205440082615865 + 0.0im	-1.9835865844861698 - 0.4424367454180817im	1.0568771823137175 + 0.579371772676343im	1.0568771823137175 + 0.579371772676343im	-3.040463808862135 - 1.0218085180946679im
-0.4277766344813452 + 0.0im	-2.0003790267649153 - 0.4555185245010561im	1.0715790449263911 + 0.5983883652876909im	1.0715790449263916 + 0.5983883652876912im	-3.0719581002031937 - 1.0539068897889872im
-0.4235412222587576 + 0.0im	-2.0171772714002127 - 0.4689339737132982im	1.0862738032883072 + 0.6179236557750966im	1.0862738032883066 + 0.6179236557750966im	-3.10345116608201 - 1.0868576294886316im
-0.4193477448106511 + 0.0im	-2.0339739151900083 - 0.48268808369017585im	1.1009505337769039 + 0.6379858707833398im	1.1009505337769043 + 0.6379858707833396im	-3.134924508533148 - 1.1206739544737474im
-0.4151957869412387 + 0.0im	-2.05076129176479 - 0.49678572162262935im	1.1155974721256272 + 0.6585830564659987im	1.1155974721256277 + 0.6585830564659987im	-3.166358728240048 - 1.155368778088855im
-0.4110849375655829 + 0.0im	-2.0675314762840244 - 0.5112316194981275im	1.1302026166751304 + 0.6797230598573133im	1.1302026166751304 + 0.6797230598573134im	-3.197734141930387 - 1.1909546793556645im
-0.40701478966889393 + 0.0im	-2.084276266661392 - 0.5260303620836396im	1.1447535710888745 + 0.7014135098014772im	1.1447535710888745 + 0.7014135098014772im	-3.2290298999460836 - 1.227443871885336im
-0.4029849402662316 + 0.0im	-2.100987202924567 - 0.5411863746660852im	1.159237489780196 + 0.7236617974629869im	1.1592374897801963 + 0.7236617974629869im	-3.260224755339886 - 1.2648481721292881im
-0.39899499036260555 + 0.0im	-2.11765550720051 - 0.5567039105671358im	1.1736409990337258 + 0.7464750564439513im	1.1736409990337258 + 0.7464750564439513im	-3.2912964608847437 - 1.3031789670112979im
-0.39504454491347085 + 0.0im	-2.1342721619136777 - 0.5725870384506427im	1.1879503124506257 + 0.7698601425365718im	1.1879503124506257 + 0.7698601425365716im	-3.3222224996260574 - 1.3424471809874232im
-0.3911332127856147 + 0.0im	-2.1508279069464926 - 0.5888396294423721im	1.2021513135401318 + 0.7938236131412981im	1.2021513135401318 + 0.7938236131412981im	-3.35297918863147 - 1.3826632425838739im
-0.3872606067184304 + 0.0im	-2.1673132271230697 - 0.6054653440831368im	1.2162293774613453 + 0.8183717063835044im	1.2162293774613455 + 0.8183717063835044im	-3.3835426081894746 - 1.423837050466842im
-0.3834263432855746 + 0.0im	-2.1837182162009814 - 0.6224676191378481im	1.2301693536121847 + 0.8435103199638763im	1.2301693536121847 + 0.8435103199638764im	-3.4138875929185817 - 1.4659779391019219im
-0.3796300428570046 + 0.0im	-2.2000328419532016 - 0.6398496542843994im	1.2439558665065351 + 0.8692449897799572im	1.2439558665065351 + 0.8692449897799575im	-3.443988592210347 - 1.5090946440645492im
-0.3758713295613907 + 0.0im	-2.216246768742039 - 0.6576143987076933im	1.2575730749500316 + 0.8955808683586927im	1.2575730749500316 + 0.895580868358693im	-3.473819734646307 - 1.5531952670665758im
-0.37214983124890166 + 0.0im	-2.2323494788312965 - 0.6757645376255131im	1.271004584083543 + 0.9225227031420282im	1.271004584083542 + 0.9225227031420282im	-3.5033540664042624 - 1.5982872407677273im
-0.3684651794543581 + 0.0im	-2.2483301157670574 - 0.6943024787742659im	1.2842338074512596 + 0.9500748146698679im	1.2842338074512598 + 0.9500748146698677im	-3.5325638692075234 - 1.6443772934443157im
-0.36481700936075057 + 0.0im	-2.2641775484059394 - 0.7132303388839785im	1.2972435265369058 + 0.9782410747069433im	1.2972435265369058 + 0.9782410747069433im	-3.561420760939539 - 1.6914714135910998im
-0.3612049597631194 + 0.0im	-2.2798805569953 - 0.7325499301731784im	1.3100163664952458 + 1.0070248843622152im	1.3100163664952456 + 1.0070248843622147im	-3.5898966167277773 - 1.7395748145355705im
-0.3576286730327915 + 0.0im	-2.295427618658056 - 0.7522627468955575im	1.3225344941275468 + 1.0364291522515554im	1.3225344941275468 + 1.0364291522515554im	-3.6179621062723806 - 1.7886918991472862im
-0.3540877950819718 + 0.0im	-2.310806954345885 - 0.7723699519714893im	1.3347796595846522 + 1.0664562727564442im	1.3347796595846515 + 1.0664562727564442im	-3.645586608859733 - 1.8388262247281046im
-0.35058197532868496 + 0.0im	-2.3260066249080906 - 0.7928723637386049im	1.3467333641124017 + 1.0971081044332973im	1.3467333641124017 + 1.0971081044332973im	-3.6727399791785627 - 1.8899804681720702im
-0.3471108666620643 + 0.0im	-2.3410145539625993 - 0.8137704428567084im	1.3583767217731473 + 1.1283859486298633im	1.3583767217731473 + 1.1283859486298633im	-3.699391258593242 - 1.9421563914867352im
-0.3436741254079845 + 0.0im	-2.3558183621814672 - 0.8350642794032792im	1.369690441787067 + 1.1602905283668314im	1.3696904417870668 + 1.1602905283668314im	-3.7255087518732517 - 1.9953548077702712im
-0.34027141129503413 + 0.0im	-2.370405474691303 - 0.8567535801967748im	1.380655211076001 + 1.1928219675443463im	1.3806552110760004 + 1.1928219675443463im	-3.7510607006581975 - 2.049575547741279im
-0.33690238742082584 + 0.0im	-2.384763364731373 - 0.8788376563856986im	1.3912510500395379 + 1.225979770534527im	1.3912510500395379 + 1.225979770534527im	-3.7760143069813505 - 2.1048174269203823im
-0.3335667202186394 + 0.0im	-2.3988790795463135 - 0.90131541134223im	1.4014581524791268 + 1.2597628022224583im	1.4014581524791274 + 1.2597628022224583im	-3.8003373054407033 - 2.1610782135648416im
-0.33026407942439545 + 0.0im	-2.412739759661182 - 0.9241853288997613im	1.4112561923674534 + 1.294169268559155im	1.4112561923674531 + 1.294169268559155im	-3.823995994725656 - 2.218354597459064im
-0.3269941380439559 + 0.0im	-2.426332219263377 - 0.9474454619742769im	1.420624547039887 + 1.3291966976910248im	1.4206245470398862 + 1.3291966976910243im	-3.8469569020233263 - 2.2766421596654465im
-0.3237565723207484 + 0.0im	-2.439643255495645 - 0.971093421609907im	1.4295426499226407 + 1.364841921731116im	1.4295426499226407 + 1.3648419217311154im	-3.8691858319923234 - 2.3359353433411676im
-0.3205510617037113 + 0.0im	-2.4526597128754695 - 0.9951263664892843im	1.437989709790141 + 1.4011010592380173im	1.4379897097901417 + 1.4011010592380173im	-3.890649499186041 - 2.396227425727445im
-0.3173772888155557 + 0.0im	-2.4653680825928044 - 1.0195409929495156im	1.4459443885275476 + 1.437969498468688im	1.4459443885275476 + 1.4379694984686884im	-3.911312410225915 - 2.4575104914183434im
-0.3142349394213423 + 0.0im	-2.4777549840060793 - 1.0443335255446229im	1.4533858574812917 + 1.4754418814716683im	1.4533858574812915 + 1.4754418814716679im	-3.931141071207662 - 2.519775407016427im
-0.3111237023973686 + 0.0im	-2.489806916796397 - 1.0694997081952244im	1.4602928493141552 + 1.5135120890870875im	1.4602928493141552 + 1.5135120890870872im	-3.950099688466335 - 2.5830117972824476im
-0.30804326970036494 + 0.0im	-2.5015103206511373 - 1.0950347959659783im	1.466643481298036 + 1.5521732269196453im	1.4666434812980365 + 1.5521732269196453im	-3.9681547493878253 - 2.647208022885756im
-0.304993336336995 + 0.0im	-2.512851806738884 - 1.1209335475109594im	1.4724179957903873 + 1.5914176123502128im	1.4724179957903873 + 1.591417612350213im	-3.985269703359875 - 2.7123511598613006im
-0.3019736003336584 + 0.0im	-2.5238177272755133 - 1.1471902182265927im	1.4775934714042136 + 1.6312367626510262im	1.4775934714042134 + 1.6312367626510262im	-4.001411099134093 - 2.7784269808777484im
-0.29898376270659244 + 0.0im	-2.5343946417556342 - 1.1737985541511256im	1.4821491266341769 + 1.6716213842684016im	1.4821491266341769 + 1.6716213842684016im	-4.016543715174343 - 2.8454199384196537im
-0.29602352743226973 + 0.0im	-2.544569122465225 - 1.2007517866487312im	1.4860636920930574 + 1.7125613633357164im	1.4860636920930579 + 1.7125613633357164im	-4.0306327103167705 - 2.913313149984576im
-0.29309260141808885 + 0.0im	-2.5543277964160938 - 1.2280426279154348im	1.4893159302787178 + 1.7540457574779504im	1.489315930278718 + 1.7540457574779502im	-4.0436438245319435 - 2.982088385393507im
-0.29019069447335527 + 0.0im	-2.5636573911843565 - 1.2556632673428085im	1.4918849699247736 + 1.7960627889672311im	1.4918849699247736 + 1.7960627889672307im	-4.055542306031161 - 3.0517260563101614im
-0.28731751928054977 + 0.0im	-2.5725447527304883 - 1.2836053687741573im	1.4937496361337477 + 1.8385998392869742im	1.4937496361337477 + 1.8385998392869742im	-4.066294499007605 - 3.122205208061255im
-0.284472791366881 + 0.0im	-2.5809768441252476 - 1.3118600686864137im	1.4948893424470655 + 1.8816434451598347im	1.4948893424470648 + 1.8816434451598343im	-4.075866371462166 - 3.1935035138463648im
-0.28165622907611976 + 0.0im	-2.588940822445765 - 1.3404179753293186im	1.4952837749107866 + 1.9251792960922252im	1.4952837749107863 + 1.9251792960922247im	-4.084224707598179 - 3.2655972714216635im
-0.27886755354071263 + 0.0im	-2.59642397371166 - 1.3692691688517364im	1.4949125142065072 + 1.9691922334853356im	1.4949125142065072 + 1.969192233485335im	-4.091336618137674 - 3.33846140233719im
-0.2761064886541709 + 0.0im	-2.6034138197517684 - 1.398403202442938im	1.49375576826142 + 2.013666251359665im	1.49375576826142 + 2.013666251359665im	-4.097169608192475 - 3.412069453802717im
-0.2733727610437336 + 0.0im	-2.6098981078531507 - 1.4278091045146526im	1.4917937461527893 + 2.058584498736594im	1.491793746152789 + 2.058584498736593im	-4.101691932927601 - 3.4863936032513614im
-0.2706661000433006 + 0.0im	-2.6158647981278174 - 1.4574753819473985im	1.4890073193417233 + 2.1039292837171955im	1.489007319341724 + 2.1039292837171955im	-4.104872182899082 - 3.561404665664711im
-0.26798623766663426 + 0.0im	-2.621302224286254 - 1.487390024422246im	1.4853778387768806 + 2.149682079294565im	1.4853778387768806 + 2.149682079294565im	-4.106680020128029 - 3.6370721037169202im
-0.265332908580826 + 0.0im	-2.6261988750292224 - 1.5175405098565964im	1.4808866544442363 + 2.1958235309320226im	1.4808866544442372 + 2.195823530932022im	-4.107085581333468 - 3.71336404078873im
-0.2627058500800257 + 0.0im	-2.6305436535465874 - 1.5479138109599062im	1.475515990875438 + 2.242333465935249im	1.4755159908754385 + 2.242333465935249im	-4.106059454899609 - 3.7902472768952626im
-0.26010480205943143 + 0.0im	-2.634325761300725 - 1.5784964029225026im	1.4692486876984154 + 2.2891909046420174im	1.4692486876984159 + 2.289190904642018im	-4.1035742542354345 - 3.867687307564625im
-0.2575295069895361 + 0.0im	-2.6375348473106586 - 1.6092742722476618im	1.462068165415546 + 2.3363740734485043im	1.4620681654155456 + 2.3363740734485052im	-4.09960414075555 - 3.9456483456962674im
-0.2549797098906298 + 0.0im	-2.6401608302231434 - 1.6402329267341522im	1.453956965732474 + 2.3838604196863042im	1.4539569657324736 + 2.3838604196863034im	-4.094117494873349 - 4.024093346420563im
-0.2524551583075543 + 0.0im	-2.64219414594626 - 1.6713574066132388im	1.444901603399569 + 2.4316266283592904im	1.4449016033995703 + 2.4316266283592896im	-4.087095249689245 - 4.102984034972635im
-0.2499556022847072 + 0.0im	-2.6436255252092002 - 1.7026322968409544im	1.4348857645867357 + 2.4796486407442813im	1.4348857645867366 + 2.479648640744282im	-4.078511232742387 - 4.182280937585336im
-0.24748079434129425 + 0.0im	-2.644446355910916 - 1.7340417405430704im	1.4238955316565003 + 2.5279016748540815im	1.4238955316565003 + 2.5279016748540823im	-4.068342075246191 - 4.26194341539725im
-0.24503048944682598 + 0.0im	-2.6446483216058247 - 1.7655694536068722im	1.4119174714762928 + 2.5763602477560994im	1.4119174714762925 + 2.5763602477561im	-4.056565881627003 - 4.341929701363073im
-0.2426044449968574 + 0.0im	-2.6442237642248925 - 1.797198740410298im	1.3989388159118914 + 2.6249981997341196im	1.398938815911891 + 2.624998199734119im	-4.043162855963004 - 4.422196940144522im
-0.24020242078896772 + 0.0im	-2.6431645703722277 - 1.8289125106755295im	1.3849480809214512 + 2.673788720275161im	1.3849480809214527 + 2.6737887202751605im	-4.028113810410513 - 4.502701230950786im
-0.23782417899897795 + 0.0im	-2.6414666705114422 - 1.8606932974305737im	1.3699342687717093 + 2.7227043758576337im	1.3699342687717093 + 2.722704375857634im	-4.011400992917222 - 4.583397673288305im
-0.2354694841574039 + 0.0im	-2.6391213518469168 - 1.8925232760588069im	1.3538869549407948 + 2.7717171395112317im	1.353886954940795 + 2.771717139511231im	-3.9930083252322053 - 4.664240415570136im
-0.23313810312614247 + 0.0im	-2.636124099209557 - 1.9243842844127754im	1.3367972050076067 + 2.820798422113174im	1.3367972050076067 + 2.8207984221131737im	-3.97292123062328 - 4.745182706526046im
-0.23082980507538858 + 0.0im	-2.6324696952110664 - 1.9562578439650833im	1.3186567100943098 + 2.8699191053795916im	1.31865671009431 + 2.8699191053795916im	-3.9511264017104284 - 4.826176949344769im
-0.22854436146078078 + 0.0im	-2.6281539491059087 - 1.9881251819655248im	1.299457986251309 + 2.9190495765050946im	1.2994579862513083 + 2.9190495765050946im	-3.927611912317984 - 4.907174758470716im
-0.22628154600077305 + 0.0im	-2.6231732449543084 - 2.019967254570111im	1.279195209065463 + 2.96815976439777im	1.2791952090654635 + 2.96815976439777im	-3.9023683630608286 - 4.988127018967979im
-0.22404113465423073 + 0.0im	-2.6175245105755622 - 2.0517647709041493im	1.257862589559452 + 3.0172191774511514im	1.2578625895594524 + 3.0172191774511514im	-3.8753873431707144 - 5.068983948355398im
-0.22182290559824824 + 0.0im	-2.611205398907706 - 2.0834982180180663im	1.2354555749610754 + 3.0661969427891362im	1.2354555749610752 + 3.0661969427891362im	-3.846660492504649 - 5.1496951608072985im
-0.21962663920618639 + 0.0im	-2.604214242192268 - 2.11514788669129im	1.2119730183212536 + 3.1150618469142897im	1.211973018321254 + 3.1150618469142892im	-3.8161874791980175 - 5.230209733605677im
-0.21745211802592712 + 0.0im	-2.59654990839468 - 2.146693898036319im	1.1874107849606117 + 3.1637823776846545im	1.1874107849606121 + 3.1637823776846554im	-3.783960773575434 - 5.3104762757210615im
