w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
0.003231636703984689 + 0.0im	-0.9662469300719684 - 0.04259971502111254im	-0.03845811398469276 - 0.1676753360586747im	-0.03845811398469131 - 0.1676753360586752im	-0.9277888078562291 + 0.12507562103780814im
0.003263953071024536 + 0.0im	-0.9663028580072952 - 0.042741245736356im	-0.03863265344296343 - 0.16765924697949858im	-0.03863265344296199 - 0.167659246979499im	-0.927670196093201 + 0.12491800124338752im
0.0032965926017347815 + 0.0im	-0.9663595036162687 - 0.04288455078808419im	-0.03880893249180344 - 0.1676434044509437im	-0.03880893249180197 - 0.16764340445094425im	-0.9275505656769744 + 0.12475885366310371im
0.003329558527752129 + 0.0im	-0.9664168759253041 - 0.04302966043943108im	-0.03898695611626586 - 0.16762782176528931im	-0.038986956116264265 - 0.16762782176528981im	-0.9274299082158564 + 0.12459816132610145im
0.0033628541130296505 + 0.0im	-0.9664749755581569 - 0.043176605702416625im	-0.039166751542540394 - 0.16761251266545477im	-0.03916675154253888 - 0.16761251266545527im	-0.9273082158490172 + 0.12443590696328038im
0.003396482654159947 + 0.0im	-0.9665338196235086 - 0.043325418359199445im	-0.039348335491155594 - 0.16759749135813082im	-0.039348335491154 - 0.16759749135813132im	-0.9271854802253655 + 0.12427207299917283im
0.0034304474807015464 + 0.0im	-0.966593412071006 - 0.04347613098363907im	-0.03953171539995465 - 0.16758277252712772im	-0.039531715399953045 - 0.16758277252712808im	-0.927061692769283 + 0.12410664154372889im
0.003464751955508562 + 0.0im	-0.9666537604589769 - 0.04362877696313653im	-0.039716911648081554 - 0.16756837134692165im	-0.039716911648079854 - 0.16756837134692207im	-0.9269368449142028 + 0.12393959438402449im
0.0034993994750636475 + 0.0im	-0.9667148728537149 - 0.04378339052071918im	-0.039903939837877475 - 0.16755430349638595im	-0.03990393983787591 - 0.1675543034963863im	-0.92681092818768 + 0.1237709129759052im
0.003534393469814284 + 0.0im	-0.9667767550199767 - 0.04394000673733161im	-0.040092817910749534 - 0.16754058517268175im	-0.040092817910748126 - 0.16754058517268225im	-0.9266839334122237 + 0.12360057843558751im
0.003569737404512427 + 0.0im	-0.9668394155145924 - 0.04409866157429111im	-0.04028355562322142 - 0.16752723310528722im	-0.040283555623219905 - 0.16752723310528772im	-0.9265558516519719 + 0.12342857153123253im
0.003605434778557551 + 0.0im	-0.9669028598766208 - 0.04425939189586162im	-0.04047617824980119 - 0.16751426457013852im	-0.040476178249799585 - 0.16751426457013907im	-0.9264266738479376 + 0.12325487267451224im
0.003641489126343127 + 0.0im	-0.9669670962731357 - 0.04442223549189725im	-0.040670701792811466 - 0.16750169740385568im	-0.040670701792809835 - 0.16750169740385612im	-0.9262963909093728 + 0.12307946191219257im
0.003677904017606558 + 0.0im	-0.9670321305699733 - 0.04458723110050131im	-0.04086713385590968 - 0.16748955001801843im	-0.04086713385590814 - 0.16748955001801893im	-0.9261649928891253 + 0.12290231891775041im
0.0037146830577826236 + 0.0im	-0.9670979673448326 - 0.04475441843064139im	-0.04106549330144778 - 0.16747784141346173im	-0.04106549330144614 - 0.16747784141346228im	-0.9260324701738647 + 0.12272342298305232im
0.00375182988836045 + 0.0im	-0.967164613442799 - 0.0449238381846597im	-0.041265796498379886 - 0.1674665911945486im	-0.041265796498378346 - 0.16746659119454899im	-0.925898813039062 + 0.12254275301011987im
0.003789348187244054 + 0.0im	-0.9672320755205348 - 0.045095532080609416im	-0.04146805359925434 - 0.1674558195833845im	-0.04146805359925277 - 0.16745581958338498im	-0.9257640110047047 + 0.12236028750300491im
0.0038272416691164947 + 0.0im	-0.9673003530026711 - 0.045269542874345564im	-0.04167229413000403 - 0.1674455474339244im	-0.04167229413000236 - 0.16744554743392492im	-0.9256280543225541 + 0.12217600455980765im
0.0038655140858076596 + 0.0im	-0.9673694567014679 - 0.04544591438129231im	-0.04187851980405559 - 0.16743579624592866im	-0.041878519804053896 - 0.1674357962459291im	-0.9254909321964438 + 0.12198988186486387im
0.0039041692266657364 + 0.0im	-0.9674393877425034 - 0.04562469149780524im	-0.04208675016418566 - 0.16742658817871367im	-0.042086750164184054 - 0.16742658817871417im	-0.9253526329911865 + 0.12180189668113468im
0.003943210918932394 + 0.0im	-0.9675101507634619 - 0.045805920222039054im	-0.04229700015256703 - 0.16741794606464583im	-0.042297000152565406 - 0.16741794606464633im	-0.9252131468271347 + 0.12161202584283183im
0.003982643028121718 + 0.0im	-0.9675817481507847 - 0.04598964767422953im	-0.04250928292669631 - 0.16740989342231696im	-0.04250928292669452 - 0.16740989342231755im	-0.9250724614357111 + 0.12142024574831153im
0.004022469458402935 + 0.0im	-0.9676541811206149 - 0.04617592211628891im	-0.04272360800004681 - 0.16740245446934346im	-0.04272360800004521 - 0.16740245446934388im	-0.9249305649090401 + 0.12122653235327716im
0.004062694152986965 + 0.0im	-0.9677274543083237 - 0.04636479297061206im	-0.04293997977347019 - 0.16739565413471774im	-0.042939979773468584 - 0.16739565413471827im	-0.9247874458837617 + 0.12103086116432696im
0.0041033210945168345 + 0.0im	-0.9678015656405962 - 0.046556310837981944im	-0.0431584692206727 - 0.1673895180706492im	-0.043158469220671035 - 0.16738951807064964im	-0.9246430914804372 + 0.12083320723288733im
0.004144354305462003 + 0.0im	-0.9678765158068422 - 0.04675052751445948im	-0.04337901947621558 - 0.16738407266381622im	-0.043379019476213976 - 0.1673840726638167im	-0.924497489085479 + 0.12063354514957547im
0.004185797848516623 + 0.0im	-0.9679523074502526 - 0.046947496007135825im	-0.04360167396055452 - 0.16737934504595278im	-0.04360167396055286 - 0.16737934504595325im	-0.9243506244925414 + 0.12043184903903444im
0.004227655827001789 + 0.0im	-0.9680289354938644 - 0.047147270548618975im	-0.04382644567426755 - 0.1673753631036917im	-0.043826445674265795 - 0.1673753631036922im	-0.9242024860615702 + 0.12022809255528893im
0.004269932385271807 + 0.0im	-0.9681063997441376 - 0.04734990661012216im	-0.04405333757380252 - 0.16737215548757559im	-0.04405333757380076 - 0.16737215548757622im	-0.9240530584201829 + 0.12002224887766831im
0.0043126317091245255 + 0.0im	-0.9681846907487798 - 0.04755546091301396im	-0.044282364684436894 - 0.16736975162014914im	-0.044282364684435166 - 0.16736975162014964im	-0.9239023273175878 + 0.11981429070734868im
0.00435575802621577 + 0.0im	-0.9682638209315034 - 0.04776399143868551im	-0.04451351551865279 - 0.1673681817030392im	-0.04451351551865103 - 0.1673681817030397im	-0.9237502751735801 + 0.1196041902645658im
0.004399315606477928 + 0.0im	-0.9683437686632266 - 0.04797555743658352im	-0.04474686591476478 - 0.16736747672292757im	-0.044746865914763054 - 0.16736747672292787im	-0.923596892301901 + 0.11939191928655468im
0.004443308762542707 + 0.0im	-0.9684245325449531 - 0.04819021943025272im	-0.04498236725306669 - 0.16736766845631443im	-0.04498236725306502 - 0.16736766845631493im	-0.9234421592161276 + 0.11917744902627107im
0.004487741850168134 + 0.0im	-0.9685061056396439 - 0.04840803922122589im	-0.04522003376490333 - 0.16736878947297293im	-0.0452200337649017 - 0.1673687894729733im	-0.9232860597724063 + 0.11896075025195497im
0.0045326192686698154 + 0.0im	-0.9685884775185124 - 0.048629079890593195im	-0.04545989516095452 - 0.1673708731379824im	-0.045459895160952855 - 0.1673708731379828im	-0.9231285766462014 + 0.1187417932475958im
0.004577945461356514 + 0.0im	-0.9686716387258352 - 0.04885340579807912im	-0.04570194074787237 - 0.16737395361223595im	-0.045701940747870706 - 0.16737395361223645im	-0.922969692280981 + 0.11852054781436198im
0.0046237249159700785 + 0.0im	-0.9687555779755632 - 0.04908108257844886im	-0.04594618341860997 - 0.16737806585130577im	-0.04594618341860809 - 0.16737806585130638im	-0.9228093882675751 + 0.11829698327306067im
0.004669962165129779 + 0.0im	-0.968840279215581 - 0.04931217713506146im	-0.046192604166182226 - 0.16738324560255072im	-0.04619260416618031 - 0.16738324560255133im	-0.922647645585478 + 0.11807106846769162im
0.004716661786781077 + 0.0im	-0.9689257329018176 - 0.04954675763038421im	-0.04644128208113192 - 0.16738952940034937im	-0.0464412820811301 - 0.16738952940034973im	-0.9224844445343457 + 0.11784277177016587im
0.0047638284046488885 + 0.0im	-0.9690119157137989 - 0.04978489347327617im	-0.04669214512902206 - 0.16739695455933304im	-0.046692145129020306 - 0.16739695455933346im	-0.9223197636443357 + 0.1176120610862561im
0.004811466688695377 + 0.0im	-0.9690988131904332 - 0.05002665530284784im	-0.04694522378132505 - 0.16740555916550268im	-0.04694522378132338 - 0.1674055591655031im	-0.9221535831790196 + 0.11737890386285259im
0.004859581355582331 + 0.0im	-0.9691864046367032 - 0.050272114968698614im	-0.04720051809413457 - 0.16741538206509576im	-0.047200518094132844 - 0.16741538206509612im	-0.9219858803282556 + 0.11714326709659341im
0.0049081771691381545 + 0.0im	-0.9692746673511101 - 0.05052134550733235im	-0.04745802891551385 - 0.16742646285108484im	-0.047458028915512124 - 0.16742646285108523im	-0.9218166322374575 + 0.11690511734394733im
0.004957258940829536 + 0.0im	-0.9693635774467032 - 0.050774421114549634im	-0.04771775633683395 - 0.167438841847174im	-0.04771775633683219 - 0.16743884184717436im	-0.9216458151408452 + 0.11666442073281774im
0.005006831530237831 + 0.0im	-0.9694531074911954 - 0.051031417113610505im	-0.047979692542535576 - 0.16745256008916828im	-0.04797969254253382 - 0.16745256008916873im	-0.9214734043022178 + 0.11642114297574947im
0.005056899845540209 + 0.0im	-0.9695432308950004 - 0.051292409918967545im	-0.04824384975141366 - 0.16746765930358526im	-0.04824384975141187 - 0.16746765930358556im	-0.9212993751118457 + 0.11617524938480807im
0.005107468843995612 + 0.0im	-0.9696339139259738 - 0.05155747699535933im	-0.04851020774259724 - 0.16748418188338152im	-0.04851020774259542 - 0.16748418188338202im	-0.9211236991054523 + 0.11592670488821098im
0.005158543532435568 + 0.0im	-0.9697251252826481 - 0.0518266968120655im	-0.04877876890787422 - 0.16750217086066543im	-0.04877876890787237 - 0.16750217086066568im	-0.9209463505053554 + 0.11567547404878725im
0.005210128967759923 + 0.0im	-0.9698168280251392 - 0.0521001487921162im	-0.049049518203381014 - 0.16752166987626826im	-0.049049518203379286 - 0.16752166987626874im	-0.9207672994743978 + 0.11542152108433781im
0.005262230257437522 + 0.0im	-0.9699089849910196 - 0.05237791325625964im	-0.04932245984847125 - 0.16754272314605054im	-0.049322459848469176 - 0.16754272314605095im	-0.9205865168486871 + 0.11516480988997511im
0.005314852560011897 + 0.0im	-0.9700015531845152 - 0.052660071361487135im	-0.049597575344339534 - 0.16756537542381889im	-0.049597575344337896 - 0.16756537542381908im	-0.9204039717880695 + 0.11490530406251402im
0.0053680010856120165 + 0.0im	-0.9700944894691973 - 0.0529467050339258im	-0.049874851110259535 - 0.16758967196073207im	-0.04987485111025785 - 0.1675896719607324im	-0.9202196323274564 + 0.11464296692698728im
0.005421681096468137 + 0.0im	-0.9701877471914988 - 0.05323789689590828im	-0.05015427536313158 - 0.16761565846108595im	-0.050154275363129726 - 0.16761565846108634im	-0.920033465395989 + 0.1143777615653571im
0.005475897907432818 + 0.0im	-0.970281273772649 - 0.053533730187040676im	-0.05043583173015363 - 0.1676433810343542im	-0.05043583173015181 - 0.1676433810343545im	-0.9198454385584323 + 0.11410965084749122im
0.005530656886507146 + 0.0im	-0.9703750211808665 - 0.05383428867909269im	-0.05071950530275644 - 0.16767288614338646im	-0.05071950530275471 - 0.16767288614338677im	-0.9196555118879575 + 0.11383859746447003im
0.005585963455372217 + 0.0im	-0.9704689283231713 - 0.05413965658454491im	-0.051005251340336635 - 0.16770422054865822im	-0.0510052513403349 - 0.16770422054865863im	-0.9194636506457963 + 0.11356456396428795im
0.005641823089925939 + 0.0im	-0.9705629398900801 - 0.05444991845863728im	-0.05129311551161152 - 0.1677374312484754im	-0.05129311551160969 - 0.16773743124847576im	-0.9192698164805104 + 0.11328751279001129im
0.005698241320825199 + 0.0im	-0.9706569893977044 - 0.05476515909477506im	-0.05158301559809051 - 0.167772565415047im	-0.05158301559808866 - 0.16777256541504734im	-0.9190739697283167 + 0.11300740632044373im
0.005755223734033451 + 0.0im	-0.97075101263652 - 0.055085463413155865im	-0.051874939339991905 - 0.1678096703263435im	-0.05187493933999002 - 0.16780967032634372im	-0.9188760693051722 + 0.11272420691335752im
0.005812775971373785 + 0.0im	-0.9708449370878778 - 0.055410916342503835im	-0.05216886081181233 - 0.16784879329366822im	-0.05216886081181053 - 0.16784879329366853im	-0.9186760727090095 + 0.11243787695133252im
0.005870903731087523 + 0.0im	-0.9709386916577345 - 0.05574160269480097im	-0.052464751239612674 - 0.16788998158488158im	-0.052464751239610904 - 0.1678899815848818im	-0.9184739351634329 + 0.11214837889024737im
0.005929612768398399 + 0.0im	-0.971032196727435 - 0.05607760703293154im	-0.05276258011578541 - 0.16793328234322083im	-0.05276258011578361 - 0.16793328234322105im	-0.9182696128894214 + 0.1118556753104546im
0.005988908896082383 + 0.0im	-0.971125372589909 - 0.05641901353116689im	-0.05306231153192245 - 0.1679787425016781im	-0.05306231153192073 - 0.16797874250167838im	-0.9180630573559992 + 0.11155972897067482im
0.006048797985043207 + 0.0im	-0.9712181331132422 - 0.05676590582843842im	-0.05336390917177213 - 0.16802640869290264im	-0.05336390917177043 - 0.16802640869290292im	-0.9178542202604353 + 0.11126050286462617im
0.006109285964893639 + 0.0im	-0.9713103890398507 - 0.05711836687436822im	-0.05366733403432095 - 0.1680763271546145im	-0.05366733403431923 - 0.1680763271546148im	-0.9176430513462126 + 0.11095796028040669im
0.0061703788245425755 + 0.0im	-0.9714020469478251 - 0.05747647876804683im	-0.053972544609146696 - 0.16812854363052288im	-0.05397254460914484 - 0.1681285436305233im	-0.9174294987018896 + 0.11065206486263493im
0.006232082612788002 + 0.0im	-0.9714930101108978 - 0.05784032258957108im	-0.05427949734551431 - 0.16818310326676064im	-0.054279497345512455 - 0.16818310326676097im	-0.917213508673518 + 0.11034278067734686im
0.006294403438915882 + 0.0im	-0.9715831756556171 - 0.058209978224379066im	-0.05458814428688605 - 0.1682400505038618im	-0.054588144286884216 - 0.16824005050386207im	-0.91699502670128 + 0.11003007227963843im
0.00635734747330504 + 0.0im	-0.9716724365281472 - 0.05858552418044563im	-0.054898438319025404 - 0.16829942896432304im	-0.05489843831902352 - 0.16829942896432326im	-0.9167739946458191 + 0.10971390478403148im
0.006420920948038091 + 0.0im	-0.9717606843335963 - 0.058967037398428124im	-0.05521032623050648 - 0.16836128133580686im	-0.05521032623050468 - 0.16836128133580705im	-0.9165503545663368 + 0.10939424393753129im
0.006485130157518472 + 0.0im	-0.9718478035777723 - 0.05935459305487968im	-0.05552375414146965 - 0.1684256492500658im	-0.05552375414146785 - 0.16842564925006615im	-0.9163240459273447 + 0.10907105619533718im
0.006549981459093656 + 0.0im	-0.9719336745307858 - 0.059748264358678416im	-0.055838664981882044 - 0.16849257315767754im	-0.055838664981880275 - 0.16849257315767774im	-0.9160950065240825 + 0.10874430879914841im
0.006615481273684593 + 0.0im	-0.9720181778314686 - 0.06014812234084917im	-0.05615499575198951 - 0.16856209219870533im	-0.05615499575198778 - 0.16856209219870555im	-0.915863172230722 + 0.10841396985800385im
0.006681636086421439 + 0.0im	-0.972101177785049 - 0.06055423563798805im	-0.05647269474164473 - 0.16863424406941924im	-0.05647269474164301 - 0.16863424406941946im	-0.9156284763288035 + 0.10808000843157761im
0.006748452447285653 + 0.0im	-0.9721825449390444 - 0.06096667026952981im	-0.05679166320434384 - 0.16870906488522563im	-0.056791663204342015 - 0.1687090648852259im	-0.9153908563947514 + 0.10774239461584056im
0.0068159369717585095 + 0.0im	-0.972262147190392 - 0.06138548940913587im	-0.05711190097217789 - 0.16878658903998128im	-0.05711190097217607 - 0.16878658903998153im	-0.9151502349749311 + 0.10740109963098855im
0.006884096341476095 + 0.0im	-0.9723398381196683 - 0.06181075315050876im	-0.057433277794042656 - 0.16886684906188482im	-0.05743327779404083 - 0.16886684906188498im	-0.9149065474805941 + 0.10705609591151767im
0.006952937304890856 + 0.0im	-0.9724154691670415 - 0.062242518267979385im	-0.05775571895862624 - 0.168949875466161im	-0.05775571895862448 - 0.16894987546616122im	-0.9146597189552937 + 0.10670735719832163im
0.007022466677939764 + 0.0im	-0.9724888910945505 - 0.06268083797224643im	-0.0580792079546347 - 0.16903569660477546im	-0.05807920795463287 - 0.16903569660477577im	-0.914409690514234 + 0.10635485863266778im
0.007092691344719162 + 0.0im	-0.9725599547981518 - 0.06312576166168117im	-0.05840358781070178 - 0.16912433851343947im	-0.058403587810699896 - 0.16912433851343966im	-0.9141563499821516 + 0.10599857685189515im
0.007163618258166354 + 0.0im	-0.9726284959203899 - 0.06357733466965193im	-0.058728858087189764 - 0.16921582475618233im	-0.05872885808718798 - 0.1692158247561825im	-0.9138996362316909 + 0.1056384900866658im
0.007235254440748017 + 0.0im	-0.9726943692605322 - 0.06403559800835326im	-0.05905487358080689 - 0.16931017626780195im	-0.059054873580805106 - 0.16931017626780215im	-0.9136394810094195 + 0.10527457825958253im
0.0073076069851554975 + 0.0im	-0.9727573650864728 - 0.06450058810966557im	-0.05938156603841635 - 0.1694074111945116im	-0.05938156603841457 - 0.1694074111945118im	-0.913375794604861 + 0.10490682308497848im
0.007380683055007053 + 0.0im	-0.9728173449816611 - 0.06497233656360467im	-0.05970884813313816 - 0.1695075447331373im	-0.05970884813313633 - 0.1695075447331375im	-0.9131084949332069 + 0.1045352081696636im
