w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-0.9966297130484334 + 0.0im	-0.09148285578869403 - 0.0022185503839272673im	5.057209643461463e-5 + 0.00010643458420737854im	-5.057100952718555e-5 - 0.00010643578741684877im	0.11766430955269962 + 0.004401315054141205im
-0.9867620921271618 + 0.0im	-0.0923006902747637 - 0.0022814246437501636im	5.118417007822894e-5 + 0.00011021845414226376im	-5.11830257422256e-5 - 0.00011021967972291915im	0.11901621453473502 + 0.0045439527235955485im
-0.9769921704229325 + 0.0im	-0.09312448970457499 - 0.0023452636054598847im	5.178818094669946e-5 + 0.00011411643657474783im	-5.178697712927523e-5 - 0.00011411768425672386im	0.12038506942425725 + 0.004690108516861807im
-0.9673189806167649 + 0.0im	-0.09395427349809814 - 0.0024100626609628024im	5.238328707349752e-5 + 0.00011813189873078752im	-5.238202163366005e-5 - 0.00011813316820780053im	0.12177112626820197 + 0.004839862063494442im
-0.957741564967094 + 0.0im	-0.09479008608077114 - 0.002475817376375193im	5.296904752986001e-5 + 0.00012226833263881683im	-5.296771828492668e-5 - 0.0001222696235668885im	0.1231746932725515 + 0.0049932967032149484im
-0.9482589752149445 + 0.0im	-0.09563195640054395 - 0.0025425235496918976im	5.354478823301925e-5 + 0.00012652935947907748im	-5.3543392949341894e-5 - 0.0001265306714752133im	0.1245960438653313 + 0.005150499695302226im
-0.9388702724900441 + 0.0im	-0.09647992041846312 - 0.0026101772682369457im	5.4109756122553986e-5 + 0.00013091873395140936im	-5.41082925142784e-5 - 0.00013092006659222566im	0.12603547162989223 + 0.005311562432160446im
-0.9295745272178654 + 0.0im	-0.09733401522889928 - 0.0026787749655948078im	5.4663281298126694e-5 + 0.0001354403486572738im	-5.466174702390683e-5 - 0.0001354417014775722im	0.12749327725282725 + 0.005476580656921244im
-0.9203708190275894 + 0.0im	-0.09819426852286792 - 0.002748313477717244im	5.520451807540949e-5 + 0.00014009823849231133im	-5.520291072125111e-5 - 0.00014009961098359195im	0.12896976017251685 + 0.0056456546849567414im
-0.9112582366609796 + 0.0im	-0.09906073523364431 - 0.0028187900978987133im	5.5732622006908336e-5 + 0.00014489658504630916im	-5.573093915567603e-5 - 0.0001448979766552196im	0.13046523268872617 + 0.0058188896292039995im
-0.902235877882158 + 0.0im	-0.09993344007277583 - 0.0028902026303132306im	5.624674288593432e-5 + 0.00014983972100809825im	-5.624498200870326e-5 - 0.00014984113113481305im	0.1319800213469224 + 0.0059963956292284955im
-0.8933028493882752 + 0.0im	-0.10081242054775287 - 0.002962549441807551im	5.674593336013273e-5 + 0.00015493213457358674im	-5.6744091887617704e-5 - 0.00015493356257011116im	0.13351445025435163 + 0.006178288083985088im
-0.8844582667210645 + 0.0im	-0.10169773026458519 - 0.0030358295116495143im	5.722906423596218e-5 + 0.00016017847385586im	-5.722713953655425e-5 - 0.00016017991902425162im	0.13506885001709484 + 0.006364687888269428im
-0.8757012541792718 + 0.0im	-0.10258939276026952 - 0.003110042478936274im	5.769514772213396e-5 + 0.0001655835512970574im	-5.769313710438004e-5 - 0.00016558501288756108im	0.13664356487612683 + 0.0065557216728903385im
-0.8670309447319523 + 0.0im	-0.10348745460859579 - 0.003185188687375507im	5.814300156213973e-5 + 0.00017115234808252845im	-5.8140902251427795e-5 - 0.0001711538252916178im	0.13823893550554878 + 0.006751522048634894im
-0.858446479932626 + 0.0im	-0.10439195079146171 - 0.003261269227162674im	5.857130108340191e-5 + 0.00017689001855859704im	-5.8569110298457e-5 - 0.000176891510526914im	0.13985532176904497 + 0.006952227854142015im
-0.8499470098342832 + 0.0im	-0.10530293367424752 - 0.003338285973689801im	5.897877731194673e-5 + 0.0001828018946560997im	-5.8976492147659315e-5 - 0.0001828034004662888im	0.1414930781541439 + 0.007157984407847841im
-0.8415316929052309 + 0.0im	-0.10622044070055679 - 0.003416241622835691im	5.936397671352814e-5 + 0.00018889349032270177im	-5.93615942163446e-5 - 0.00018889500899712993im	0.14315259180004564 + 0.007368943764215619im
-0.8331996959457731 + 0.0im	-0.10714451402110982 - 0.003495139722603876im	5.9725990553209486e-5 + 0.00019517050596783741im	-5.97235076954387e-5 - 0.00019517203646619152im	0.1448342396306609 + 0.007585264974515628im
-0.824950194005716 + 0.0im	-0.10807519057792116 - 0.0035749847008928973im	6.006133333056639e-5 + 0.00020163883292492792im	-6.005874703262535e-5 - 0.00020164037414168552im	0.14653836076800403 + 0.007807114352475084im
-0.8167823703026891 + 0.0im	-0.10901252235853988 - 0.0036557818892040636im	6.037008440254831e-5 + 0.0002083045579363304im	-6.036739148518339e-5 - 0.00020830610869809329im	0.14826539424377866 + 0.00803466574517413im
-0.8086954161412763 + 0.0im	-0.10995653853154219 - 0.0037375375421137814im	6.0649818144129174e-5 + 0.00021517396766721085im	-6.064701537115744e-5 - 0.0002151755267298952im	0.15001572280014397 + 0.008268100809622493im
-0.8006885308329468 + 0.0im	-0.11090729554947347 - 0.0038202588523615676im	6.0898505114313513e-5 + 0.00022225355325523373im	-6.089558917403341e-5 - 0.00022225511930110977im	0.151789768520269 + 0.00850760929550984im
-0.792760921616779 + 0.0im	-0.11186482716456066 - 0.0039039539614302413im	6.111401898478478e-5 + 0.00022955001490357747im	-6.111098647467044e-5 - 0.00022955158653814988im	0.1535879296139246 + 0.008753389334682851im
-0.7849118035809693 + 0.0im	-0.11282918538254134 - 0.003988631965521901im	6.129410934081395e-5 + 0.00023707026652534583im	-6.129095679260531e-5 - 0.00023707184227406537im	0.15541062991973045 + 0.009005647737962105im
-0.7771403995851182 + 0.0im	-0.11380039713833992 - 0.004074302916861354im	6.143644906163038e-5 + 0.000244821440447872im	-6.143317289802117e-5 - 0.00024482301875267354im	0.15725834328271573 + 0.009264600299971188im
