w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-0.824950194005716 + 0.0im	0.13504183049926163 + 0.05345477278034895im	0.003695355625543585 - 0.0022168095900403704im	0.0036953556255437388 - 0.0022168095900403787im	0.1350418304992624 + 0.053454772780349484im
-0.8167823703026891 + 0.0im	0.13758632823121125 + 0.05557083029016637im	0.003778076941952989 - 0.002288425611132212im	0.003778076941953143 - 0.002288425611132217im	0.13758632823121203 + 0.05557083029016696im
-0.8086954161412763 + 0.0im	0.14016098711570343 + 0.05776291872428659im	0.0038644365063807617 - 0.002361170023192964im	0.0038644365063809126 - 0.0023611700231929707im	0.14016098711570424 + 0.05776291872428718im
-0.8006885308329468 + 0.0im	0.14276504126493872 + 0.060033292226525634im	0.003954580804842033 - 0.0024349794221410043im	0.003954580804842188 - 0.0024349794221410117im	0.14276504126493955 + 0.060033292226526286im
-0.792760921616779 + 0.0im	0.1453976521069138 + 0.062384236295097845im	0.004048648997712993 - 0.002509783694348669im	0.00404864899771315 - 0.002509783694348678im	0.14539765210691458 + 0.062384236295098545im
-0.7849118035809693 + 0.0im	0.14805785351685447 + 0.06481806573452857im	0.0041467844522432955 - 0.002585505749974887im	0.004146784452243458 - 0.002585505749974899im	0.1480578535168553 + 0.06481806573452928im
-0.7771403995851182 + 0.0im	0.15074463707120786 + 0.06733712243408765im	0.004249131924684444 - 0.002662061259415756im	0.004249131924684611 - 0.0026620612594157682im	0.15074463707120875 + 0.06733712243408835im
-0.7694459401832853 + 0.0im	0.15345688743739458 + 0.06994377296932201im	0.004355839286947115 - 0.0027393583939244867im	0.004355839286947284 - 0.0027393583939244984im	0.1534568874373954 + 0.06994377296932273im
-0.7618276635478072 + 0.0im	0.15619339835958393 + 0.072640406023571im	0.004467049211212469 - 0.0028172975714986738im	0.004467049211212639 - 0.002817297571498688im	0.15619339835958485 + 0.07264040602357183im
-0.7542848153938685 + 0.0im	0.15895288968891125 + 0.07542942962668027im	0.004582909395067249 - 0.0028957712091776874im	0.0045829093950674245 - 0.002895771209177705im	0.15895288968891216 + 0.07542942962668107im
-0.7468166489048202 + 0.0im	0.16173390565935963 + 0.07831326820848013im	0.004703574681054065 - 0.0029746634829359722im	0.004703574681054247 - 0.0029746634829359883im	0.16173390565936044 + 0.07831326820848102im
-0.7394224246582378 + 0.0im	0.16453498470707772 + 0.08129435946497317im	0.004829179658874751 - 0.003053850096398001im	0.004829179658874933 - 0.0030538500963980197im	0.16453498470707867 + 0.0812943594649741im
-0.7321014105527107 + 0.0im	0.16735453760169064 + 0.08437515103556367im	0.004959882258472763 - 0.003133198059638745im	0.004959882258472952 - 0.0031331980596387677im	0.16735453760169156 + 0.08437515103556464im
-0.7248528817353571 + 0.0im	0.17019083655587894 + 0.0875580969900902im	0.005095824661051134 - 0.003212565479367404im	0.005095824661051328 - 0.003212565479367426im	0.17019083655587985 + 0.08755809699009119im
-0.7176761205300566 + 0.0im	0.17304206857140333 + 0.09084565412485468im	0.005237153735964675 - 0.003291801361823534im	0.005237153735964876 - 0.003291801361823553im	0.17304206857140422 + 0.09084565412485575im
-0.7105704163663926 + 0.0im	0.17590628365056005 + 0.09424027806730716im	0.005384008459800276 - 0.003370745429741932im	0.00538400845980047 - 0.0033707454297419517im	0.175906283650561 + 0.09424027806730823im
-0.7035350657092996 + 0.0im	0.17878145228196168 + 0.09774441918953011im	0.005536542956039709 - 0.0034492279547658202im	0.005536542956039911 - 0.0034492279547658454im	0.17878145228196257 + 0.09774441918953126im
-0.6965693719894055 + 0.0im	0.18166539609921734 + 0.10136051833117245im	0.005694887862078317 - 0.003527069606706647im	0.0056948878620785275 - 0.0035270696067066748im	0.1816653960992183 + 0.10136051833117363im
-0.6896726455340648 + 0.0im	0.1845558593705591 + 0.10509100233300915im	0.005859146120727216 - 0.003604081321062843im	0.005859146120727433 - 0.0036040813210628676im	0.18455585937056013 + 0.10509100233301048im
-0.682844203499074 + 0.0im	0.18745041542734897 + 0.10893827938285428im	0.006029503066362006 - 0.003680064186219022im	0.0060295030663622285 - 0.0036800641862190517im	0.18745041542734994 + 0.1089382793828556im
-0.6760833698010634 + 0.0im	0.19034655886038646 + 0.11290473417612519im	0.0062060619542163185 - 0.0037548093517505068im	0.006206061954216548 - 0.0037548093517505332im	0.19034655886038743 + 0.11290473417612659im
-0.6693894750505578 + 0.0im	0.19324165087561485 + 0.11699272289394502im	0.006388949443052412 - 0.0038280979592561445im	0.0063889494430526385 - 0.003828097959256173im	0.19324165087561576 + 0.11699272289394648im
-0.6627618564857007 + 0.0im	0.19613287591710699 + 0.1212045680022858im	0.006578282774489625 - 0.0038997010971343004im	0.006578282774489854 - 0.003899701097134329im	0.19613287591710782 + 0.12120456800228735im
-0.6561998579066344 + 0.0im	0.19901737552680723 + 0.12554255287628222im	0.006774175947648025 - 0.003969379780702659im	0.006774175947648266 - 0.003969379780702696im	0.19901737552680804 + 0.12554255287628374im
-0.649702829610529 + 0.0im	0.20189210517368966 + 0.13000891625449976im	0.006976735382654756 - 0.004036884959041649im	0.006976735382655009 - 0.0040368849590416795im	0.20189210517369058 + 0.1300089162545013im
